Time,PM10,PM25,PM100,Temp,Gas,Relative Humidity,Pressure,Altitude
1676678808.4076333,0,0,0,23.93234375,32195,16.809936327968146,1006.513342249455,56.238858411057166
1676678809.6058054,0,0,0,23.93390625,32431,16.815015171590744,1006.5040721296499,56.316456787722956
1676678810.8042474,0,1,1,23.935859375,32479,16.810115103972034,1006.5023045112595,56.33125324445659
1676678812.002765,0,1,1,23.937421875,32599,16.805195344298276,1006.4998656874877,56.351668290870045
1676678813.2013242,0,1,1,23.93859375,32696,16.80025590748265,1006.503587073367,56.32051711581067
1676678814.3999312,0,1,1,23.938984375,32720,16.785280009726563,1006.5025503996992,56.32919494957733
1676678815.5985258,0,1,1,23.9380078125,32793,16.790228766145802,1006.4974567539274,56.371833169900576
1676678816.7969344,0,1,1,23.9380078125,32696,16.770236665917075,1006.4974567539274,56.371833169900576
1676678817.9957137,0,1,1,23.9378125,33039,16.78022236291957,1006.4971211660251,56.37464233700971
1676678819.1940444,0,0,0,23.937421875,33014,16.795197563659936,1006.4930342935725,56.40885312951976
1676678820.3926022,0,0,0,23.9383984375,33138,16.805244993028317,1006.4930043768369,56.40910355987953
1676678821.590664,0,0,0,23.9383984375,33088,16.820243340947734,1006.4930043768369,56.40910355987953
1676678822.7888424,0,1,1,23.939375,33039,16.80529464226184,1006.4929744557627,56.40935402656085
1676678823.9875798,0,1,1,23.939375,33288,16.810293886502887,1006.4980980164864,56.366465238077424
1676678825.1813035,0,1,1,23.940546875,33313,16.815352960554154,1006.50352725705,56.32101782868478
1676678826.3798456,0,1,1,23.942109375,33338,16.805433662794222,1006.5010883858465,56.341433252059765
1676678827.577968,0,0,0,23.9426953125,33439,16.80046438247964,1006.5020951488515,56.333005785784124
1676678828.7766507,0,0,0,23.9430859375,33389,16.79548537976749,1006.499350597002,56.35598004508402
1676678829.975454,0,0,0,23.9430859375,33592,16.79548537976749,1006.5078899161762,56.28449876637736
1676678831.174078,0,1,1,23.943671875,33643,16.79551515481375,1006.5088966845383,56.27607130136657
1676678832.3720481,0,1,1,23.9442578125,33541,16.800543803861622,1006.5099034532273,56.26764384044564
1676678833.5703304,0,1,1,23.9440625,33928,16.81553179943557,1006.5061521303091,56.299045454881195
1676678834.7690177,0,1,1,23.94328125,33824,16.820491790680865,1006.5031019121835,56.3245783235885
1676678835.9670446,0,0,0,23.9425,33824,16.815452314682283,1006.5085910106732,56.27863003798798
1676678837.1650412,0,0,0,23.942109375,33850,16.825432097796668,1006.507919831095,56.28424835422266
1676678838.3631716,0,0,0,23.94171875,33928,16.820412285395708,1006.5038329309756,56.31845908113246
1676678839.5617468,0,0,0,23.942109375,33850,16.830432252297268,1006.5010883858465,56.341433252059765
